127.0.0.1 - - [03/Apr/2021:18:23:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/index.html HTTP/1.1" 200 59444
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/aos/aos.css HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/remixicon/remixicon.css HTTP/1.1" 404 881
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 404 893
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 404 886
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/css/style.css HTTP/1.1" 200 42292
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/aos/aos.js HTTP/1.1" 404 868
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 404 894
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 404 885
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/purecounter/purecounter.js HTTP/1.1" 404 884
0:0:0:0:0:0:0:1 - - [03/Apr/2021:18:23:04 +0900] "GET /WebJSP_JDBC_HomeWork/assets/vendor/php-email-form/validate.js HTTP/1.1" 404 884
